title,originalTitle,year,rating,votes_orig,votes,genres/0,genres/1,genres/2,genres/3,genres/4,genres/5,genres/6,genres/7,ProductionBudget_orig,DomesticGross_orig,WorldwideGross_orig,DomesticGross,WorldwideGross,domesticProfit,worldwideProfit,totalProfit
The Client,,1994,7,"46 410,00",46410000,Crime,Drama,Mystery,Thriller,,,,,45000000,92115211,117615211,92115211,117615211,47115211,-19500000,27615211
The Flintstones,,1994,5,"61 479,00",61479000,Comedy,Family,Fantasy,,,,,,45000000,130531208,358500000,130531208,358500000,85531208,182968792,268500000
The Hudsucker Proxy,,1994,7,"66 038,00",66038000,Comedy,Fantasy,,,,,,,40000000,2816518,14938149,2816518,14938149,-37183482,-27878369,-65061851
The Lion King,,1994,9,"657 760,00",657760000,Animation,Adventure,Drama,Family,Musical,,,,79300000,422780140,987480140,422780140,987480140,343480140,485400000,828880140
The Mask,,1994,7,"269 997,00",269997000,Comedy,Fantasy,,,,,,,18000000,119920129,351620129,119920129,351620129,101920129,213700000,315620129
The Santa Clause,,1994,6,"65 452,00",65452000,Comedy,Drama,Family,Fantasy,,,,,22000000,144833357,189800000,144833357,189800000,122833357,22966643,145800000
The Shadow,,1994,6,"18 960,00",18960000,Action,Adventure,Crime,Fantasy,Mystery,Thriller,,,40000000,31835600,31835600,31835600,31835600,-8164400,-8164400,-16328800
The Shawshank Redemption,,1994,9,"1 718 456,00",1718456000,Crime,Drama,,,,,,,25000000,28241469,28307092,28241469,28307092,3241469,-24934377,-21692908
The Specialist,,1994,6,"50 767,00",50767000,Action,Crime,Drama,Romance,Thriller,,,,45000000,57362581,57362581,57362581,57362581,12362581,12362581,24725162
Timecop,,1994,6,"45 004,00",45004000,Action,Crime,Sci-Fi,Thriller,,,,,28000000,44853581,102053581,44853581,102053581,16853581,29200000,46053581
True Lies,,1994,7,"192 579,00",192579000,Action,Comedy,Thriller,,,,,,100000000,146282411,365300000,146282411,365300000,46282411,119017589,165300000
Wolf,,1994,6,"44 068,00",44068000,Drama,Horror,Romance,Thriller,,,,,70000000,65011757,131011757,65011757,131011757,-4988243,-4000000,-8988243
Wyatt Earp,,1994,7,"35 797,00",35797000,Adventure,Biography,Crime,Drama,Western,,,,63000000,25052000,25052000,25052000,25052000,-37948000,-37948000,-75896000
Rapa Nui,,1994,6,"3,87",3872,Action,Adventure,Drama,History,Romance,,,,20000000,305070,305070,305070,305070,-19694930,-19694930,-39389860
There Goes My Baby,,1994,6,"865,00",865000,Comedy,Drama,,,,,,,10500000,125169,125169,125169,125169,-10374831,-10374831,-20749662
Beauty and the Beast,,1991,8,"313,97",313970,Animation,Family,Fantasy,Musical,Romance,,,,20000000,218951625,451421625,218951625,451421625,198951625,212470000,411421625
Bill & Ted's Bogus Journey,,1991,6,"50,25",50253,Adventure,Comedy,Fantasy,Music,Sci-Fi,,,,20000000,37537675,37537675,37537675,37537675,17537675,17537675,35075350
Boyz n the Hood,,1991,8,"95,43",95426,Crime,Drama,,,,,,,6500000,56190094,56190094,56190094,56190094,49690094,49690094,99380188
Cape Fear,,1991,7,"129,37",129370,Crime,Thriller,,,,,,,35000000,79091969,182291969,79091969,182291969,44091969,68200000,112291969
Double Impact,,1991,6,"29,38",29375,Action,Crime,,,,,,,16000000,29090445,29090445,29090445,29090445,13090445,13090445,26180890
Freddy's Dead: The Final Nightmare,,1991,5,"31,26",31257,Comedy,Fantasy,Horror,Thriller,,,,,5000000,34872033,34872033,34872033,34872033,29872033,29872033,59744066
Harley Davidson and the Marlboro Man,,1991,6,"14,68",14680,Action,Crime,Drama,Thriller,Western,,,,23000000,7018525,7018525,7018525,7018525,-15981475,-15981475,-31962950
Hook,,1991,7,"185,09",185085,Adventure,Comedy,Family,Fantasy,,,,,70000000,119654823,300854823,119654823,300854823,49654823,111200000,160854823
Hudson Hawk,,1991,6,"43,80",43801,Action,Adventure,Comedy,,,,,,65000000,17218916,17218916,17218916,17218916,-47781084,-47781084,-95562168
JFK,,1991,8,"114,89",114893,Drama,History,Thriller,,,,,,40000000,70405498,205400000,70405498,205400000,30405498,94994502,125400000
My Girl,,1991,7,"56,57",56572,Comedy,Drama,Family,Romance,,,,,16500000,58011485,58011485,58011485,58011485,41511485,41511485,83022970
My Own Private Idaho,,1991,7,"37,53",37531,Drama,,,,,,,,2500000,6401336,6401336,6401336,6401336,3901336,3901336,7802672
Point Break,,1991,7,"114,92",114917,Action,Crime,Thriller,,,,,,24000000,43218387,83531958,43218387,83531958,19218387,16313571,35531958
Return to the Blue Lagoon,,1991,5,"14,32",14321,Adventure,Drama,Romance,,,,,,11000000,2000000,2000000,2000000,2000000,-9000000,-9000000,-18000000
Robin Hood: Prince of Thieves,,1991,7,"146,79",146786,Action,Adventure,Drama,Romance,,,,,50000000,165493908,390500000,165493908,390500000,115493908,175006092,290500000
Showdown in Little Tokyo,,1991,6,"12,69",12689,Action,Comedy,Crime,Thriller,,,,,8000000,2275557,2275557,2275557,2275557,-5724443,-5724443,-11448886
Slacker,,1991,7,"15 319,00",15319000,Comedy,Drama,,,,,,,23000,1227508,1227508,1227508,1227508,1204508,1204508,2409016
Star Trek VI: The Undiscovered Country,,1991,7,"56 426,00",56426000,Action,Adventure,Sci-Fi,Thriller,,,,,27000000,74888996,96900000,74888996,96900000,47888996,-4988996,42900000
Stone Cold,,1991,6,"5 059,00",5059000,Action,Crime,Drama,Thriller,,,,,25000000,9286314,9286314,9286314,9286314,-15713686,-15713686,-31427372
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,,1991,6,"43,20",43204,Action,Adventure,Comedy,Family,Sci-Fi,,,,25000000,78656813,78656813,78656813,78656813,53656813,53656813,107313626
Terminator 2: Judgment Day,,1991,9,"756,41",756413,Action,Sci-Fi,Thriller,,,,,,100000000,201858746,513815401,201858746,513815401,101858746,211956655,313815401
The Addams Family,,1991,7,"98,05",98049,Comedy,Fantasy,,,,,,,30000000,113502246,191502246,113502246,191502246,83502246,48000000,131502246
The Doors,,1991,7,"68,85",68845,Biography,Drama,Music,Musical,,,,,40000000,34416893,34416893,34416893,34416893,-5583107,-5583107,-11166214
The Fisher King,,1991,8,"64,08",64075,Comedy,Drama,Fantasy,,,,,,24000000,41798224,41798224,41798224,41798224,17798224,17798224,35596448
The Naked Gun 2Â½: The Smell of Fear,,1991,7,"84,25",84252,Comedy,Crime,,,,,,,23000000,86930411,86930411,86930411,86930411,63930411,63930411,127860822
The Prince of Tides,,1991,7,"12,68",12681,Drama,Romance,,,,,,,30000000,74787599,74787599,74787599,74787599,44787599,44787599,89575198
The Silence of the Lambs,,1991,9,"904,05",904054,Crime,Drama,Thriller,,,,,,20000000,130726716,275726716,130726716,275726716,110726716,125000000,235726716
White Fang,,1991,7,"15,88",15875,Adventure,Drama,,,,,,,14000000,34729091,34729091,34729091,34729091,20729091,20729091,41458182
Ace Ventura: When Nature Calls,,1995,6,"162 509,00",162509000,Adventure,Comedy,,,,,,,30000000,108360063,212400000,108360063,212400000,78360063,74039937,152400000
Apollo 13,,1995,8,"211 502,00",211502000,Adventure,Drama,History,,,,,,65000000,172070496,334100000,172070496,334100000,107070496,97029504,204100000
"Babe, le cochon devenu berger",Babe,1995,7,"95 304,00",95304000,Comedy,Drama,Family,,,,,,30000000,63658910,246100000,63658910,246100000,33658910,152441090,186100000
Bad Boys,,1995,7,"174 843,00",174843000,Action,Comedy,Crime,Drama,Thriller,,,,23000000,65647413,141247413,65647413,141247413,42647413,52600000,95247413
Batman Forever,,1995,5,"193 277,00",193277000,Action,Adventure,Fantasy,,,,,,100000000,184031112,336529144,184031112,336529144,84031112,52498032,136529144
Before Sunrise,,1995,8,"187 304,00",187304000,Drama,Romance,,,,,,,2500000,5274005,5677093,5274005,5677093,2774005,-2096912,677093
Braveheart,,1995,8,"748 277,00",748277000,Biography,Drama,History,War,,,,,72000000,75545647,209045647,75545647,209045647,3545647,61500000,65045647
Casino,,1995,8,"339 327,00",339327000,Biography,Crime,Drama,,,,,,52000000,42438300,110400000,42438300,110400000,-9561700,15961700,6400000
Casper,,1995,6,"87 492,00",87492000,Animation,Comedy,Family,Fantasy,,,,,55000000,100328194,282300000,100328194,282300000,45328194,126971806,172300000
Clueless,,1995,7,"125 835,00",125835000,Comedy,Romance,,,,,,,13700000,56598476,56598476,56598476,56598476,42898476,42898476,85796952
Congo,,1995,5,"34 915,00",34915000,Action,Adventure,Mystery,Sci-Fi,,,,,50000000,81022333,152022333,81022333,152022333,31022333,21000000,52022333
Copycat,,1995,7,"42 742,00",42742000,Crime,Mystery,Thriller,,,,,,20000000,32051917,32051917,32051917,32051917,12051917,12051917,24103834
Crimson Tide,,1995,7,"82 022,00",82022000,Action,Drama,Thriller,War,,,,,55000000,91387195,159387195,91387195,159387195,36387195,13000000,49387195
Dead Man Walking,,1995,8,"73 884,00",73884000,Crime,Drama,,,,,,,11000000,39387284,83088295,39387284,83088295,28387284,32701011,61088295
Desperado,,1995,7,"140 407,00",140407000,Action,Thriller,,,,,,,7000000,25532388,25532388,25532388,25532388,18532388,18532388,37064776
First Knight,,1995,6,"55 987,00",55987000,Action,Adventure,Romance,Thriller,,,,,75000000,37361412,127361412,37361412,127361412,-37638588,15000000,-22638588
Four Rooms,,1995,7,"79 108,00",79108000,Comedy,,,,,,,,4000000,4301000,4301000,4301000,4301000,301000,301000,602000
Friday,,1995,7,"75 861,00",75861000,Comedy,Drama,,,,,,,3500000,27467564,27936778,27467564,27936778,23967564,-3030786,20936778
Get Shorty,,1995,7,"63 501,00",63501000,Comedy,Crime,Thriller,,,,,,30250000,72021008,115021008,72021008,115021008,41771008,12750000,54521008
GoldenEye,,1995,7,"200 641,00",200641000,Action,Adventure,Thriller,,,,,,60000000,106429941,356429941,106429941,356429941,46429941,190000000,236429941
Judge Dredd,,1995,6,"89 387,00",89387000,Action,Crime,Sci-Fi,Thriller,,,,,85000000,34687912,113487912,34687912,113487912,-50312088,-6200000,-56512088
Jumanji,,1995,7,"211 230,00",211230000,Action,Adventure,Family,Fantasy,Thriller,,,,65000000,100458310,262758310,100458310,262758310,35458310,97300000,132758310
Kids,,1995,7,"59 833,00",59833000,Drama,Romance,,,,,,,1500000,7412216,20412216,7412216,20412216,5912216,11500000,17412216
Leaving Las Vegas,,1995,8,"94 811,00",94811000,Drama,Romance,,,,,,,4000000,31983777,49800000,31983777,49800000,27983777,13816223,41800000
Mallrats,,1995,7,"99 875,00",99875000,Comedy,Romance,,,,,,,6100000,2108367,2108367,2108367,2108367,-3991633,-3991633,-7983266
Mort ou vif,The Quick and the Dead,1995,6,"69 991,00",69991000,Action,Romance,Thriller,Western,,,,,32000000,18552460,18552460,18552460,18552460,-13447540,-13447540,-26895080
Mortal Kombat,,1995,6,"82 606,00",82606000,Action,Adventure,Fantasy,Sci-Fi,Thriller,,,,20000000,70433227,122133227,70433227,122133227,50433227,31700000,82133227
Outbreak,,1995,7,"91 900,00",91900000,Action,Drama,Thriller,,,,,,50000000,67823573,67823573,67823573,67823573,17823573,17823573,35647146
Pocahontas,,1995,7,"121 885,00",121885000,Animation,Adventure,Drama,Family,History,Musical,Romance,,55000000,141579773,347100000,141579773,347100000,86579773,150520227,237100000
Rob Roy,,1995,7,"34 690,00",34690000,Adventure,Biography,History,,,,,,28000000,31390587,31390587,31390587,31390587,3390587,3390587,6781174
Sabrina,,1995,6,"30 028,00",30028000,Comedy,Drama,,,,,,,58000000,53458319,87100000,53458319,87100000,-4541681,-24358319,-28900000
Se7en,,1995,9,"1 042 796,00",1042796000,Crime,Drama,Mystery,Thriller,,,,,30000000,100125643,328125643,100125643,328125643,70125643,198000000,268125643
Sense and Sensibility,,1995,8,"79 407,00",79407000,Drama,Romance,,,,,,,16500000,42993774,134993774,42993774,134993774,26493774,75500000,101993774
Showgirls,,1995,5,"50 516,00",50516000,Drama,,,,,,,,40000000,20350754,37750754,20350754,37750754,-19649246,-22600000,-42249246
Species,,1995,6,"61 776,00",61776000,Action,Horror,Sci-Fi,Thriller,,,,,35000000,60054449,113354449,60054449,113354449,25054449,18300000,43354449
Tales from the Crypt: Demon Knight,,1995,7,"16 868,00",16868000,Action,Fantasy,Horror,Thriller,,,,,12000000,21089146,21089146,21089146,21089146,9089146,9089146,18178292
Tank Girl,,1995,5,"25 013,00",25013000,Action,Comedy,Sci-Fi,,,,,,25000000,4064333,4064333,4064333,4064333,-20935667,-20935667,-41871334
The American President,,1995,7,"43 429,00",43429000,Comedy,Drama,Romance,,,,,,62000000,60022813,107822813,60022813,107822813,-1977187,-14200000,-16177187
The Bridges of Madison County,,1995,8,"55 354,00",55354000,Drama,Romance,,,,,,,22000000,71516617,175516617,71516617,175516617,49516617,82000000,131516617
The Scarlet Letter,,1995,5,"12 153,00",12153000,Drama,Romance,,,,,,,50000000,10359006,10359006,10359006,10359006,-39640994,-39640994,-79281988
The Usual Suspects,,1995,9,"753 195,00",753195000,Crime,Drama,Mystery,Thriller,,,,,6000000,23341568,34449356,23341568,34449356,17341568,5107788,22449356
Things to Do in Denver When You're Dead,,1995,7,"22 529,00",22529000,Crime,Drama,,,,,,,15000000,529766,529766,529766,529766,-14470234,-14470234,-28940468
To Die For,,1995,7,"35 103,00",35103000,Comedy,Crime,Drama,,,,,,20000000,21284514,27688744,21284514,27688744,1284514,-13595770,-12311256
Toy Story,,1995,8,"635 473,00",635473000,Animation,Adventure,Comedy,Family,Fantasy,,,,30000000,191796233,364545516,191796233,364545516,161796233,142749283,304545516
Twelve Monkeys,,1995,8,"469 415,00",469415000,Mystery,Sci-Fi,Thriller,,,,,,29000000,57141459,168841459,57141459,168841459,28141459,82700000,110841459
Under Siege 2: Dark Territory,,1995,5,"36 351,00",36351000,Action,Thriller,,,,,,,60000000,50024083,104324083,50024083,104324083,-9975917,-5700000,-15675917
Waterworld,,1995,6,"146 073,00",146073000,Action,Adventure,Sci-Fi,Thriller,,,,,175000000,88246220,264246220,88246220,264246220,-86753780,1000000,-85753780
Othello,,1995,7,"7,54",7539,Drama,Romance,,,,,,,11000000,2844379,2844379,2844379,2844379,-8155621,-8155621,-16311242
Stonewall,,1995,7,"1,22",1218,Romance,,Comedy,Drama,,,,,2000000,304602,304602,304602,304602,-1695398,-1695398,-3390796
The Horseman on the Roof,Le hussard sur le toit,1995,7,"4,91",4910,Romance,War,Adventure,Drama,,,,,35000000,1320043,1320043,1320043,1320043,-33679957,-33679957,-67359914
The Incredibly True Adventure of Two Girls in Love,,1995,7,"3,55",3553,Romance,,Comedy,Drama,,,,,250000,2210408,2477155,2210408,2477155,1960408,16747,1977155
A Time to Kill,,1996,7,"101,13",101125,Crime,Drama,Thriller,,,,,,40000000,108766007,152266007,108766007,152266007,68766007,3500000,72266007
Basquiat,,1996,7,"16,06",16056,Biography,Drama,,,,,,,3000000,2962051,2962051,2962051,2962051,-37949,-37949,-75898
Bottle Rocket,,1996,7,"55,20",55204,Comedy,Crime,Drama,,,,,,5000000,407488,407488,407488,407488,-4592512,-4592512,-9185024
Bound,,1996,7,"41,55",41552,Crime,Romance,Thriller,,,,,,4500000,3802260,7011317,3802260,7011317,-697740,-1290943,-1988683
Broken Arrow,,1996,6,"78,08",78078,Action,Crime,Thriller,,,,,,65000000,70645997,148345997,70645997,148345997,5645997,12700000,18345997
Courage Under Fire,,1996,7,"40,66",40656,Action,Drama,Mystery,Thriller,War,,,,46000000,59003384,100833145,59003384,100833145,13003384,-4170239,8833145
Crash,,1996,6,"42,72",42715,Drama,,,,,,,,10000000,3357324,3357324,3357324,3357324,-6642676,-6642676,-13285352
Daylight,,1996,6,"53,71",53708,Action,Adventure,Drama,Thriller,,,,,80000000,32908290,158908290,32908290,158908290,-47091710,46000000,-1091710
DragonHeart,,1996,6,"78,96",78955,Action,Adventure,Fantasy,,,,,,57000000,51364680,104364680,51364680,104364680,-5635320,-4000000,-9635320
Emma,,1996,7,"28,12",28120,Comedy,Drama,Romance,,,,,,5900000,22231658,37831658,22231658,37831658,16331658,9700000,26031658
Eraser,,1996,6,"85,32",85318,Action,Drama,Mystery,Thriller,,,,,100000000,101295562,234400000,101295562,234400000,1295562,33104438,34400000
Escape from L.A.,,1996,6,"54,84",54841,Action,Adventure,Sci-Fi,Thriller,,,,,50000000,25426861,25426861,25426861,25426861,-24573139,-24573139,-49146278
Evita,,1996,6,"29,41",29409,Biography,Drama,History,Musical,,,,,55000000,50047179,151947179,50047179,151947179,-4952821,46900000,41947179
Executive Decision,,1996,6,"41,22",41224,Action,Adventure,Thriller,,,,,,55000000,56679192,122079192,56679192,122079192,1679192,10400000,12079192
Eye for an Eye,,1996,6,"10,08",10084,Crime,Drama,Thriller,,,,,,20000000,26792700,26792700,26792700,26792700,6792700,6792700,13585400
Fargo,,1996,8,"461,96",461963,Crime,Drama,Thriller,,,,,,7000000,24567751,51204567,24567751,51204567,17567751,19636816,37204567
From Dusk Till Dawn,,1996,7,"222,28",222280,Action,Crime,Fantasy,Horror,,,,,20000000,25728961,25728961,25728961,25728961,5728961,5728961,11457922
Hamlet,,1996,8,"30,84",30839,Drama,,,,,,,,18000000,4501094,7129670,4501094,7129670,-13498906,-15371424,-28870330
Happy Gilmore,,1996,7,"158,21",158212,Comedy,Sport,,,,,,,10000000,38623460,41004412,38623460,41004412,28623460,-7619048,21004412
Independence Day,,1996,7,"436,25",436246,Action,Adventure,Sci-Fi,,,,,,75000000,306169255,817400878,306169255,817400878,231169255,436231623,667400878
Jack,,1996,6,"47,14",47141,Comedy,Drama,Fantasy,,,,,,45000000,58617334,58617334,58617334,58617334,13617334,13617334,27234668
Jerry Maguire,,1996,7,"192,23",192230,Comedy,Drama,Romance,Sport,,,,,50000000,153952592,274000000,153952592,274000000,103952592,70047408,174000000
Jingle All the Way,,1996,6,"68,96",68964,Comedy,Family,,,,,,,60000000,60592389,129832389,60592389,129832389,592389,9240000,9832389
Kingpin,,1996,7,"64,12",64119,Comedy,Sport,,,,,,,25000000,25023424,32223424,25023424,32223424,23424,-17800000,-17776576
Last Man Standing,,1996,6,"44,78",44779,Action,Crime,Drama,Thriller,,,,,67000000,18115927,18115927,18115927,18115927,-48884073,-48884073,-97768146
Lone Star,,1996,8,"23,44",23441,Crime,Drama,Mystery,,,,,,5000000,12961389,12961389,12961389,12961389,7961389,7961389,15922778
Mars Attacks!,,1996,6,"174,27",174265,Action,Comedy,Sci-Fi,,,,,,80000000,37771017,101371017,37771017,101371017,-42228983,-16400000,-58628983
Michael Collins,,1996,7,"24,44",24439,Biography,Drama,Thriller,War,,,,,25000000,11092559,27572844,11092559,27572844,-13907441,-8519715,-22427156
Mission: Impossible,,1996,7,"304,75",304750,Action,Adventure,Thriller,,,,,,80000000,180981886,457697994,180981886,457697994,100981886,196716108,297697994
Multiplicity,,1996,6,"25,00",24997,Comedy,Romance,Sci-Fi,,,,,,45000000,20133326,20133326,20133326,20133326,-24866674,-24866674,-49733348
Phenomenon,,1996,6,"64,44",64443,Drama,Fantasy,Romance,Sci-Fi,,,,,32000000,104636382,152036382,104636382,152036382,72636382,15400000,88036382
Ransom,,1996,7,"100,05",100052,Crime,Thriller,,,,,,,70000000,136492681,308700000,136492681,308700000,66492681,102207319,168700000
Scream,,1996,7,"225,14",225137,Horror,Mystery,,,,,,,15000000,103046663,173046663,103046663,173046663,88046663,55000000,143046663
Set It Off,,1996,7,"10,30",10295,Action,Crime,Drama,Romance,Thriller,,,,9000000,36049108,36049108,36049108,36049108,27049108,27049108,54098216
Shine,,1996,8,"43,57",43571,Biography,Drama,Music,Romance,,,,,5500000,35811509,36554909,35811509,36554909,30311509,-4756600,25554909
Sleepers,,1996,8,"156,05",156053,Crime,Drama,Thriller,,,,,,44000000,53300852,165600852,53300852,165600852,9300852,68300000,77600852
Sling Blade,,1996,8,"73,30",73303,Drama,,,,,,,,4833610,24475416,34175000,24475416,34175000,19641806,4865974,24507780
Space Jam,,1996,6,"113,87",113870,Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi,Sport,,80000000,90463534,250200000,90463534,250200000,10463534,79736466,90200000
Star Trek: First Contact,,1996,8,"99,04",99037,Action,Adventure,Drama,Sci-Fi,Thriller,,,,46000000,92027888,150000000,92027888,150000000,46027888,11972112,58000000
Striptease,,1996,4,"35,24",35236,Comedy,Crime,Drama,Thriller,,,,,50000000,33109743,113309743,33109743,113309743,-16890257,30200000,13309743
Swingers,,1996,7,"64,63",64628,Comedy,Drama,,,,,,,200000,4505922,6618578,4505922,6618578,4305922,1912656,6218578
That Thing You Do!,,1996,7,"50,90",50898,Comedy,Drama,Music,,,,,,2500000,25857416,34557416,25857416,34557416,23357416,6200000,29557416
The Cable Guy,,1996,6,"123,81",123814,Comedy,Drama,Thriller,,,,,,47000000,60240295,102825796,60240295,102825796,13240295,-4414499,8825796
The Craft,,1996,6,"58,08",58081,Drama,Fantasy,Horror,Thriller,,,,,15000000,24769466,55669466,24769466,55669466,9769466,15900000,25669466
The English Patient,,1996,7,"143,90",143903,Drama,Romance,War,,,,,,35000000,78716374,231716374,78716374,231716374,43716374,118000000,161716374
The First Wives Club,,1996,6,"32,33",32331,Comedy,,,,,,,,30000000,105489203,181489203,105489203,181489203,75489203,46000000,121489203
The Ghost and the Darkness,,1996,7,"46,75",46747,Adventure,Drama,Horror,Thriller,,,,,55000000,38564422,38564422,38564422,38564422,-16435578,-16435578,-32871156
The Hunchback of Notre Dame,,1996,7,"104,81",104808,Animation,Drama,Family,Musical,Romance,,,,100000000,100138851,325500000,100138851,325500000,138851,125361149,125500000
The Island of Dr. Moreau,,1996,4,"26,28",26280,Horror,Sci-Fi,Thriller,,,,,,40000000,27682712,27682712,27682712,27682712,-12317288,-12317288,-24634576
The Long Kiss Goodnight,,1996,7,"61,12",61121,Action,Crime,Drama,Mystery,Thriller,,,,65000000,33447612,33447612,33447612,33447612,-31552388,-31552388,-63104776
The Nutty Professor,,1996,6,"87,62",87618,Comedy,Romance,Sci-Fi,,,,,,55000000,128814019,273814019,128814019,273814019,73814019,90000000,163814019
The Rock,,1996,7,"262,03",262033,Action,Adventure,Thriller,,,,,,75000000,134069511,336069511,134069511,336069511,59069511,127000000,186069511
Thinner,,1996,6,"20,29",20293,Fantasy,Horror,,,,,,,14000000,15171475,15171475,15171475,15171475,1171475,1171475,2342950
Trainspotting,,1996,8,"476,88",476883,Drama,,,,,,,,3100000,16501785,71561772,16501785,71561772,13401785,51959987,65361772
Twister,,1996,6,"145,20",145204,Action,Adventure,Drama,Thriller,,,,,88000000,241688385,495700000,241688385,495700000,153688385,166011615,319700000
Waiting for Guffman,,1996,8,"22,93",22925,Comedy,,,,,,,,4000000,2922988,2922988,2922988,2922988,-1077012,-1077012,-2154024
Albino Alligator,,1996,6,"6,66",6664,Crime,Drama,Thriller,,,,,,5000000,353480,353480,353480,353480,-4646520,-4646520,-9293040
Love and Other Catastrophes,,1996,6,"1,74",1737,Comedy,Romance,,,,,,,250000,212285,743216,212285,743216,-37715,280931,243216
Absolute Power,,1997,7,"40,03",40025,Action,Crime,Drama,Thriller,,,,,50000000,50068310,50068310,50068310,50068310,68310,68310,136620
Air Force One,,1997,6,"147,94",147943,Action,Adventure,Drama,Thriller,,,,,85000000,172956409,315268353,172956409,315268353,87956409,57311944,145268353
Alien: Resurrection,,1997,6,"172,88",172879,Action,Horror,Sci-Fi,,,,,,60000000,47795018,160700000,47795018,160700000,-12204982,52904982,40700000
Amistad,,1997,7,"57,12",57116,Drama,History,,,,,,,40000000,44212592,58250151,44212592,58250151,4212592,-25962441,-21749849
Anaconda,,1997,5,"74,63",74630,Action,Adventure,Horror,Thriller,,,,,45000000,65598907,136998907,65598907,136998907,20598907,26400000,46998907
Anastasia,,1997,7,"87,62",87624,Animation,Adventure,Drama,Family,Fantasy,Musical,Mystery,Romance,53000000,58403409,139801410,58403409,139801410,5403409,28398001,33801410
As Good as It Gets,,1997,8,"226,76",226757,Comedy,Drama,Romance,,,,,,50000000,148478011,314111923,148478011,314111923,98478011,115633912,214111923
Austin Powers: International Man of Mystery,,1997,7,"185,14",185140,Comedy,Crime,,,,,,,18000000,53883989,67683989,53883989,67683989,35883989,-4200000,31683989
Batman & Robin,,1997,4,"192,08",192078,Action,,,,,,,,125000000,107325195,238317814,107325195,238317814,-17674805,5992619,-11682186
Boogie Nights,,1997,8,"191,44",191435,Drama,,,,,,,,15000000,26410771,43111725,26410771,43111725,11410771,1700954,13111725
Chasing Amy,,1997,7,"115,19",115187,Comedy,Drama,Romance,,,,,,250000,12006514,15155095,12006514,15155095,11756514,2898581,14655095
Con Air,,1997,7,"227,56",227555,Action,Crime,Thriller,,,,,,80000000,101117573,224117573,101117573,224117573,21117573,43000000,64117573
Conspiracy Theory,,1997,7,"77,12",77116,Action,Crime,Mystery,Romance,Thriller,,,,80000000,76118990,142783718,76118990,142783718,-3881010,-13335272,-17216282
Contact,,1997,7,"203,27",203267,Drama,Mystery,Sci-Fi,Thriller,,,,,90000000,100920329,165900000,100920329,165900000,10920329,-25020329,-14100000
Cop Land,,1997,7,"70,32",70318,Crime,Drama,Thriller,,,,,,15000000,44906632,63706632,44906632,63706632,29906632,3800000,33706632
Cube,,1997,7,"162,91",162911,Mystery,Sci-Fi,Thriller,,,,,,250000,489220,8969065,489220,8969065,239220,8229845,8469065
Dante's Peak,,1997,6,"63,07",63068,Action,Adventure,Thriller,,,,,,115000000,67163857,178200000,67163857,178200000,-47836143,-3963857,-51800000
Donnie Brasco,,1997,8,"227,71",227705,Biography,Crime,Drama,,,,,,35000000,41954997,65303052,41954997,65303052,6954997,-11651945,-4696948
Event Horizon,,1997,7,"122,42",122417,Horror,Sci-Fi,Thriller,,,,,,60000000,26673242,26673242,26673242,26673242,-33326758,-33326758,-66653516
Face/Off,,1997,7,"287,02",287017,Action,Crime,Sci-Fi,Thriller,,,,,80000000,112276146,241200000,112276146,241200000,32276146,48923854,81200000
Flubber,,1997,5,"64,66",64655,Comedy,Family,Sci-Fi,,,,,,80000000,92993801,177993801,92993801,177993801,12993801,5000000,17993801
G.I. Jane,,1997,6,"61,02",61017,Action,Drama,War,,,,,,50000000,48169156,48169156,48169156,48169156,-1830844,-1830844,-3661688
Gattaca,,1997,8,"223,50",223496,Drama,Sci-Fi,Thriller,,,,,,36000000,12532777,12532777,12532777,12532777,-23467223,-23467223,-46934446
George of the Jungle,,1997,5,"56,78",56780,Action,Adventure,Comedy,Family,Romance,,,,55000000,105263257,174463257,105263257,174463257,50263257,14200000,64463257
Good Will Hunting,,1997,8,"616,59",616586,Drama,,,,,,,,10000000,138433435,225933435,138433435,225933435,128433435,77500000,205933435
Grosse Pointe Blank,,1997,7,"73,97",73968,Action,Comedy,Crime,Romance,Thriller,,,,15000000,28084357,31070412,28084357,31070412,13084357,-12013945,1070412
Hercules,,1997,7,"145,49",145492,Animation,Adventure,Comedy,Family,Fantasy,Musical,Romance,,70000000,99112101,250700000,99112101,250700000,29112101,81587899,110700000
I Know What You Did Last Summer,,1997,6,"106,93",106934,Horror,Mystery,Thriller,,,,,,17000000,72250091,125250091,72250091,125250091,55250091,36000000,91250091
Jackie Brown,,1997,8,"242,86",242856,Crime,Thriller,,,,,,,12000000,39673162,74727492,39673162,74727492,27673162,23054330,50727492
Kiss the Girls,,1997,7,"51,32",51322,Crime,Drama,Mystery,Thriller,,,,,27000000,60527873,60527873,60527873,60527873,33527873,33527873,67055746
L.A. Confidential,,1997,8,"420,35",420345,Crime,Drama,Mystery,Thriller,,,,,35000000,64604977,126204977,64604977,126204977,29604977,26600000,56204977
Liar Liar,,1997,7,"223,69",223694,Comedy,Fantasy,,,,,,,45000000,181410615,302710615,181410615,302710615,136410615,76300000,212710615
Lolita,,1997,7,"37,92",37921,Drama,Romance,,,,,,,55000000,1147784,1147784,1147784,1147784,-53852216,-53852216,-107704432
